,sampno,sio2,tio2,al2o3,fe2o3,mgo,cao,mno,k2o,p2o5,rock_type
257,2159026,55.77,0.88,15.9,7.53,5.74,4.6,0.211724,3.9,0.259,diorite
258,2159027,56.38,0.73,16.1,7.47,4.85,4.03,0.396337,3.67,0.267,diorite
260,2159028,58.35,0.79,16.3,6.94,3.8,3.62,0.241417,4.28,0.301,diorite
261,2159029,53.87,1.05,16.5,8.01,5.34,4.99,0.21947,3.79,0.317,diorite
262,2159030,53.46,1.01,16.9,7.28,5.13,4.9,0.307258,3.81,0.34,diorite
263,2159031,55.49,1.02,16.8,7.39,4.86,4.19,0.291766,3.61,0.357,diorite
264,2159032,55.16,0.96,16,7.62,5.14,5.02,0.303385,3.66,0.295,diorite
265,2159033,55.11,1.01,16.6,7.34,5.05,4.61,0.209142,3.99,0.293,diorite
266,2159034,46.76,0.85,13.6,9.35,6.84,8.33,0.770727,2.9,0.22,diorite
267,2159035,54.97,0.9,13.4,8.91,7.44,4.71,0.391173,3.63,0.185,diorite
268,2159036,54.53,1.09,16.6,8.11,4.51,5.56,0.250454,3.85,0.35,diorite
269,2159037,54.66,1.03,15.8,8.27,4.56,5.81,0.276274,3.69,0.341,diorite
270,2159038,61.57,0.53,15.3,5.07,2.39,4.18,0.282729,5.15,0.305,diorite
272,2138066,54.82,1.03,16.2,8.58,5.6,5.01,0.428612,1.83,0.322,diorite
273,2159039,57.12,0.92,15.7,7.52,4.29,4.77,0.533183,2.63,0.296,diorite
274,2159040,55.56,1.01,16,8.37,4.86,5.36,0.172994,3.31,0.311,diorite
275,2159041,56.82,0.98,15.7,8.08,4.72,4.95,0.201396,3.26,0.313,diorite
276,2159042,56.76,0.97,15.7,7.97,4.94,5.28,0.302094,2.36,0.295,diorite
277,2159043,55.45,0.81,15.2,9.09,3.64,4.25,0.557712,3.01,0.333,diorite
278,2159044,55.95,1.01,15.4,8.47,5.07,5.18,0.224634,3.39,0.291,diorite
279,2159045,55.6,0.95,14.8,8.81,5.33,5.55,0.243999,2.79,0.277,diorite
280,2159046,58.14,0.56,14.3,8.82,3.16,3.99,0.546093,3.63,0.231,diorite
282,2159047,59.94,0.73,15.7,5.82,3.64,4.23,0.260782,3.85,0.325,diorite
283,2159048,56.27,0.94,16,7.16,4.7,5.42,0.222052,2.96,0.326,diorite
284,2159049,61.6,0.53,15.5,4.23,2.48,4.27,0.161375,5.84,0.295,diorite
285,2159050,57.2,0.32,14.4,2.76,1.32,8.83,0.15492,6.19,0.188,diorite
286,2159051,51.89,0.77,15.6,6.15,3.18,8.68,0.355025,4.11,0.319,diorite
287,2159052,55.56,1,16,7.68,4.79,3.89,0.531892,4.17,0.371,diorite
288,2159053,55.81,1.02,16.3,7.55,4.94,4.89,0.286602,3.05,0.332,diorite
289,2159054,53.14,1.08,15.9,8.66,5.62,4.21,0.419575,3.95,0.351,diorite
290,2159055,55.38,1.08,16,8.09,5.05,4.79,0.256909,3.18,0.329,diorite
291,2159056,56.59,0.99,15.6,7.65,4.51,5.26,0.185904,3.48,0.313,diorite
293,2138068,56.4,1.04,15.8,7.94,4.57,5.29,0.27111,2.92,0.312,diorite
294,2159057,57.14,0.72,14.3,7.66,3.89,5.75,0.599024,3.62,0.466,diorite
295,2159058,54.03,0.87,15.8,9.08,4.87,4.14,0.797838,2.02,0.397,diorite
296,2159059,58.71,0.76,15.4,7.71,4.11,3.97,0.369226,2.59,0.301,diorite
297,2159060,53.68,0.95,16,8.74,5.27,3.97,0.920483,2.69,0.346,diorite
